start_date,distance [km],average_speed [km/h],max_speed [km/h],moving_time [min],total_elevation_gain [m],type,gear_id,kilojoules
2023-06-25T14:36:15Z,35.249900000000004,17.0388,42.5664,124.12,163.8,Ride,b10386566,912.9
2023-06-24T09:10:06Z,31.9991,20.4264,44.8416,94.0,135.1,Ride,b10386566,792.9
2023-06-23T14:14:40Z,16.485599999999998,15.908399999999999,42.9912,62.18,144.7,Ride,b10386566,466.8
2023-06-23T04:54:17Z,13.289100000000001,12.9924,43.704,61.37,93.0,Ride,b10386566,530.9
2023-06-20T13:15:45Z,12.4822,22.212,43.891200000000005,33.72,68.8,Ride,b10386566,310.7
2023-06-20T04:14:45Z,12.6665,19.8,38.901599999999995,38.38,90.7,Ride,b10386566,354.6
2023-06-19T14:26:31Z,11.7365,22.006800000000002,40.356,32.0,69.0,Ride,b10386566,280.8
2023-06-19T05:19:08Z,12.5882,19.9116,39.6864,37.93,90.4,Ride,b10386566,336.7
2023-06-18T14:25:08Z,29.0847,15.318,65.6892,113.92,319.4,Ride,b10386566,929.3
2023-06-15T14:30:52Z,14.5036,7.8732,40.0392,110.53,79.2,Ride,b10386566,765.3
2023-06-15T05:02:43Z,13.9828,20.3976,45.288000000000004,41.13,101.0,Ride,b10386566,377.6
2023-06-11T09:41:54Z,65.6028,13.0572,48.672,301.45,842.1,Ride,b10386566,1777.5
2023-06-08T14:22:31Z,11.7177,18.882,76.7556,37.23,47.3,Ride,b10386566,262.1
2023-06-08T05:20:25Z,11.672799999999999,18.7164,77.3964,37.42,76.3,Ride,b10386566,276.1
2023-06-05T14:28:51Z,12.9146,17.524800000000003,31.9068,44.22,74.3,Ride,b10386566,317.4
2023-06-05T05:16:17Z,13.2248,17.7192,41.428799999999995,44.78,97.5,Ride,b10386566,370.0
2023-06-04T13:59:38Z,9.1671,13.8132,74.2788,39.82,145.9,Ride,b10386566,290.1
2023-06-04T09:26:49Z,35.9649,11.8008,41.5944,182.87,451.2,Ride,b10386566,1196.0
2023-06-03T14:34:46Z,19.3179,16.668,55.7208,69.53,256.5,Ride,b10386566,515.4
2023-06-03T07:26:43Z,36.7172,14.670000000000002,38.088,150.17,423.4,Ride,b10386566,1114.5
2023-05-31T14:30:50Z,12.4759,21.0744,50.976,35.52,69.1,Ride,b7982751,387.4
2023-05-31T04:32:03Z,12.1015,19.8648,45.4608,36.55,91.2,Ride,b7982751,382.1
2023-05-29T14:50:22Z,12.4261,18.702,45.072,39.87,69.5,Ride,b7982751,395.4
2023-05-29T04:47:34Z,14.3087,18.1908,40.6728,47.2,107.6,Ride,b10386566,392.4
2023-05-26T14:47:08Z,35.543099999999995,15.3072,39.0096,139.32,329.3,Ride,b10386566,1015.3
2023-05-24T14:10:38Z,12.317,20.433600000000002,48.308400000000006,36.17,66.6,Ride,,205.5
2023-05-24T05:17:22Z,11.919,22.1292,40.4784,32.32,90.7,Ride,,226.6
2023-05-23T14:14:04Z,12.52,19.3608,39.5784,38.8,69.2,Ride,b10386566,292.3
2023-05-23T05:08:20Z,13.1921,17.416800000000002,40.982400000000005,45.45,99.7,Ride,,252.5
2023-05-21T12:20:13Z,54.4116,12.456,73.8108,262.07,574.1,Ride,b10386566,1790.3
2023-05-20T15:20:30Z,36.903400000000005,16.430400000000002,44.064,134.75,114.1,Ride,b10386566,913.0
2023-05-18T14:17:53Z,12.2839,20.8692,53.64,35.32,68.8,Ride,b10386566,297.5
2023-05-18T05:04:54Z,12.7295,20.736,45.3384,36.83,90.8,Ride,b10386566,345.0
2023-05-14T13:06:10Z,23.8098,13.3092,38.3616,107.35,288.8,Ride,b10386566,718.7
2023-05-12T09:32:20Z,12.023399999999999,21.697200000000002,48.614399999999996,33.25,69.2,Ride,b10386566,328.1
